STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
MAHARASHTRA,2013,By Fire-Arms,0,7,9,5,0,0,1,0,0,0
MAHARASHTRA,2013,By Hanging,60,2074,2288,1313,523,58,1043,492,173,77
MAHARASHTRA,2013,By Consuming Insecticides,12,759,994,697,355,13,465,250,107,74
MAHARASHTRA,2013,By Consuming Other Poison,7,210,335,255,71,19,177,132,40,18
MAHARASHTRA,2013,By Self Infliction of injury,0,9,7,4,1,0,3,1,2,0
MAHARASHTRA,2013,By Jumping from (Building),1,18,21,20,11,0,12,9,5,6
MAHARASHTRA,2013,By Jumping from (Other sites),0,2,6,3,3,0,2,1,0,1
MAHARASHTRA,2013,By Jumping off Moving Vehicles/Trains,0,18,16,13,9,0,3,6,0,1
MAHARASHTRA,2013,By Machine,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2013,By Overdose of sleeping pills,0,2,3,1,4,0,8,9,2,0
MAHARASHTRA,2013,By touching electric wires,0,3,2,13,0,0,1,0,3,0
MAHARASHTRA,2013,By coming under running vehicles/trains,0,68,58,26,13,1,15,12,6,2
MAHARASHTRA,2013,By Other means (please specify),1,3,4,1,0,0,2,14,8,1
MAHARASHTRA,2013,Total,91,3561,4367,2710,1163,106,2385,1363,544,332
MAHARASHTRA,2013,Total (Poison),19,978,1336,956,427,32,645,383,149,92
MAHARASHTRA,2013,Total (Jumping),1,20,27,23,14,0,14,10,5,7
MANIPUR,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Drowning,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Fire-Arms,0,1,3,1,0,0,1,0,0,0
MANIPUR,2013,By Hanging,0,6,7,1,1,2,5,1,1,0
MANIPUR,2013,By Consuming Insecticides,0,0,0,0,0,0,2,0,0,0
MANIPUR,2013,By Consuming Other Poison,1,0,0,0,0,0,2,1,0,0
MANIPUR,2013,By Self Infliction of injury,0,0,0,1,0,0,0,0,0,0
MANIPUR,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Machine,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
MANIPUR,2013,Total,1,7,10,3,1,2,10,2,1,0
MANIPUR,2013,Total (Poison),1,0,0,1,0,0,4,1,0,0
MANIPUR,2013,Total (Jumping),0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Drowning,0,0,2,0,1,0,2,0,0,0
MEGHALAYA,2013,By Fire/Self Immolation,0,4,2,0,0,0,2,3,1,0
MEGHALAYA,2013,By Fire-Arms,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Hanging,3,45,21,10,2,6,19,6,1,0
MEGHALAYA,2013,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Consuming Other Poison,0,2,1,0,0,0,1,0,0,0
MEGHALAYA,2013,By Self Infliction of injury,0,0,1,0,0,0,0,0,0,0
MEGHALAYA,2013,By Jumping from (Building),0,0,1,0,0,0,0,0,0,0
MEGHALAYA,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Machine,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2013,By Other means (please specify),0,0,0,1,0,0,0,0,0,0
MEGHALAYA,2013,Total,3,51,28,11,3,6,24,9,2,0
MEGHALAYA,2013,Total (Poison),0,2,2,0,0,0,1,0,0,0
MEGHALAYA,2013,Total (Jumping),0,0,1,0,0,0,0,0,0,0
MIZORAM,2013,By Over Alcoholism,0,1,0,0,0,0,0,0,1,0
MIZORAM,2013,By Drowning,1,5,0,0,0,0,0,1,1,0
MIZORAM,2013,By Fire/Self Immolation,0,0,1,0,0,0,0,0,0,0
MIZORAM,2013,By Fire-Arms,0,1,1,1,0,0,0,0,0,0
MIZORAM,2013,By Hanging,1,29,16,10,1,2,6,3,1,0
MIZORAM,2013,By Consuming Insecticides,0,0,1,0,0,0,0,0,0,0
MIZORAM,2013,By Consuming Other Poison,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Machine,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,By Other means (please specify),1,8,1,0,0,0,1,0,0,0
MIZORAM,2013,Total,3,44,20,11,1,2,7,4,3,0
MIZORAM,2013,Total (Poison),0,0,1,0,0,0,0,0,0,0
MIZORAM,2013,Total (Jumping),0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Drowning,1,0,1,0,0,0,0,0,0,0
NAGALAND,2013,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Fire-Arms,0,1,0,0,0,0,0,0,0,0
NAGALAND,2013,By Hanging,0,5,13,1,1,0,7,2,1,2
NAGALAND,2013,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Consuming Other Poison,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Jumping from (Building),0,1,1,0,0,0,0,0,0,0
NAGALAND,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Machine,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,Total,1,7,15,1,1,0,7,2,1,2
NAGALAND,2013,Total (Poison),0,0,0,0,0,0,0,0,0,0
NAGALAND,2013,Total (Jumping),0,1,1,0,0,0,0,0,0,0
ODISHA,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
ODISHA,2013,By Drowning,0,29,35,12,9,0,18,16,5,3
ODISHA,2013,By Fire/Self Immolation,0,40,33,13,0,0,19,32,13,3
ODISHA,2013,By Fire-Arms,0,2,0,0,0,0,0,0,0,0
ODISHA,2013,By Hanging,0,286,333,210,64,0,253,189,123,22
ODISHA,2013,By Consuming Insecticides,5,217,201,128,26,4,150,128,58,16
ODISHA,2013,By Consuming Other Poison,5,141,192,191,59,13,141,147,72,15
ODISHA,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
ODISHA,2013,By Jumping from (Building),0,5,2,9,1,0,0,1,0,0
ODISHA,2013,By Jumping from (Other sites),0,6,0,2,0,0,2,0,0,0
ODISHA,2013,By Jumping off Moving Vehicles/Trains,0,1,5,2,0,0,2,0,4,0
ODISHA,2013,By Machine,0,0,0,0,0,0,0,0,0,0
ODISHA,2013,By Overdose of sleeping pills,0,1,0,2,0,0,0,3,1,0
ODISHA,2013,By touching electric wires,0,4,5,1,2,0,6,1,1,2
ODISHA,2013,By coming under running vehicles/trains,0,41,37,47,9,0,6,23,8,2
ODISHA,2013,By Other means (please specify),143,165,197,153,201,122,135,92,63,66
ODISHA,2013,Total,153,938,1040,770,371,139,732,632,348,129
ODISHA,2013,Total (Poison),10,358,393,319,85,17,291,275,130,31
ODISHA,2013,Total (Jumping),0,11,2,11,1,0,2,1,0,0
PUNJAB,2013,By Over Alcoholism,0,0,2,1,0,0,0,0,0,0
PUNJAB,2013,By Drowning,0,7,3,0,0,0,3,1,1,0
PUNJAB,2013,By Fire/Self Immolation,0,0,1,3,2,1,13,1,0,1
PUNJAB,2013,By Fire-Arms,1,4,3,3,0,0,0,1,0,0
PUNJAB,2013,By Hanging,3,96,83,35,10,1,63,28,12,3
PUNJAB,2013,By Consuming Insecticides,0,31,17,8,0,1,14,7,1,0
PUNJAB,2013,By Consuming Other Poison,0,24,13,12,2,0,21,11,2,0
PUNJAB,2013,By Self Infliction of injury,0,3,3,3,1,0,5,2,0,0
PUNJAB,2013,By Jumping from (Building),0,0,1,0,0,0,1,0,0,0
PUNJAB,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
PUNJAB,2013,By Jumping off Moving Vehicles/Trains,1,0,0,0,0,0,0,0,0,0
PUNJAB,2013,By Machine,0,0,0,0,0,0,0,0,0,0
PUNJAB,2013,By Overdose of sleeping pills,0,0,1,0,0,0,0,0,0,0
PUNJAB,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
PUNJAB,2013,By coming under running vehicles/trains,1,108,87,56,40,0,14,8,11,7
PUNJAB,2013,By Other means (please specify),0,19,10,10,5,3,17,4,0,1
PUNJAB,2013,Total,6,292,224,131,60,6,151,63,27,12
PUNJAB,2013,Total (Poison),0,58,33,23,3,1,40,20,3,0
PUNJAB,2013,Total (Jumping),0,0,1,0,0,0,1,0,0,0
RAJASTHAN,2013,By Over Alcoholism,0,14,21,18,5,0,0,0,0,0
RAJASTHAN,2013,By Drowning,12,85,64,36,13,6,48,37,16,7
RAJASTHAN,2013,By Fire/Self Immolation,0,32,53,25,6,4,65,45,20,9
RAJASTHAN,2013,By Fire-Arms,0,3,2,3,0,0,0,5,0,0
RAJASTHAN,2013,By Hanging,7,484,466,174,40,11,240,112,47,11
RAJASTHAN,2013,By Consuming Insecticides,3,110,119,66,14,1,83,65,32,10
RAJASTHAN,2013,By Consuming Other Poison,6,86,56,40,8,2,64,36,14,7
RAJASTHAN,2013,By Self Infliction of injury,0,1,2,4,1,0,0,1,0,0
RAJASTHAN,2013,By Jumping from (Building),1,6,8,6,1,0,2,3,0,0
RAJASTHAN,2013,By Jumping from (Other sites),3,24,35,20,4,0,12,9,3,3
RAJASTHAN,2013,By Jumping off Moving Vehicles/Trains,0,11,14,11,0,0,4,4,2,0
RAJASTHAN,2013,By Machine,0,3,6,2,0,0,0,1,0,0
RAJASTHAN,2013,By Overdose of sleeping pills,0,11,6,4,1,0,3,3,1,0
RAJASTHAN,2013,By touching electric wires,1,15,32,11,3,0,3,4,1,0
RAJASTHAN,2013,By coming under running vehicles/trains,0,46,51,27,5,0,7,3,3,1
RAJASTHAN,2013,By Other means (please specify),14,183,356,327,50,3,81,186,129,14
RAJASTHAN,2013,Total,47,1114,1291,774,151,27,612,514,268,62
RAJASTHAN,2013,Total (Poison),9,197,177,110,23,3,147,102,46,17
RAJASTHAN,2013,Total (Jumping),4,30,43,26,5,0,14,12,3,3
SIKKIM,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Drowning,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Fire-Arms,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Hanging,5,49,48,16,7,3,37,11,5,3
SIKKIM,2013,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Consuming Other Poison,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Machine,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,Total,5,49,48,16,7,3,37,11,5,3
SIKKIM,2013,Total (Poison),0,0,0,0,0,0,0,0,0,0
SIKKIM,2013,Total (Jumping),0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,By Over Alcoholism,0,29,95,111,24,0,0,0,3,0
TAMIL NADU,2013,By Drowning,47,156,171,124,63,24,76,71,56,18
TAMIL NADU,2013,By Fire/Self Immolation,14,219,340,192,72,48,537,373,194,109
TAMIL NADU,2013,By Fire-Arms,0,1,1,1,0,0,2,1,2,0
TAMIL NADU,2013,By Hanging,38,1094,1333,832,276,31,761,486,211,71
TAMIL NADU,2013,By Consuming Insecticides,16,359,478,471,247,13,302,241,125,74
TAMIL NADU,2013,By Consuming Other Poison,26,563,809,809,362,17,369,316,166,107
TAMIL NADU,2013,By Self Infliction of injury,1,4,5,7,1,2,2,2,3,1
TAMIL NADU,2013,By Jumping from (Building),8,17,37,31,14,5,4,5,14,4
TAMIL NADU,2013,By Jumping from (Other sites),3,19,22,28,7,6,3,7,2,3
TAMIL NADU,2013,By Jumping off Moving Vehicles/Trains,0,0,0,1,0,0,0,1,0,0
TAMIL NADU,2013,By Machine,0,4,5,4,0,0,0,0,0,0
TAMIL NADU,2013,By Overdose of sleeping pills,0,5,12,1,1,0,3,2,0,1
TAMIL NADU,2013,By touching electric wires,4,39,43,51,10,1,10,11,5,1
TAMIL NADU,2013,By coming under running vehicles/trains,6,91,71,44,31,4,25,12,5,9
TAMIL NADU,2013,By Other means (please specify),27,216,394,339,206,4,192,105,104,57
TAMIL NADU,2013,Total,190,2816,3816,3046,1314,155,2286,1633,890,455
TAMIL NADU,2013,Total (Poison),43,926,1292,1287,610,32,673,559,294,182
TAMIL NADU,2013,Total (Jumping),11,36,59,59,21,11,7,12,16,7
TRIPURA,2013,By Over Alcoholism,0,0,0,1,0,0,0,0,0,0
TRIPURA,2013,By Drowning,1,2,5,3,1,0,2,1,3,1
TRIPURA,2013,By Fire/Self Immolation,0,2,2,0,0,1,3,5,3,1
TRIPURA,2013,By Fire-Arms,0,1,2,0,0,0,4,4,0,0
TRIPURA,2013,By Hanging,10,108,110,81,35,10,88,30,25,7
TRIPURA,2013,By Consuming Insecticides,0,0,0,4,0,0,0,0,0,0
TRIPURA,2013,By Consuming Other Poison,3,30,25,16,6,4,26,11,9,2
TRIPURA,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By Jumping from (Other sites),0,2,3,1,1,0,0,0,0,0
TRIPURA,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By Machine,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,By Other means (please specify),10,69,70,29,3,8,25,18,12,22
TRIPURA,2013,Total,24,214,217,135,46,23,148,69,52,33
TRIPURA,2013,Total (Poison),3,30,25,20,6,4,26,11,9,2
TRIPURA,2013,Total (Jumping),0,2,3,1,1,0,0,0,0,0
UTTAR PRADESH,2013,By Over Alcoholism,1,39,58,49,34,0,12,3,0,0
UTTAR PRADESH,2013,By Drowning,9,66,77,45,16,4,51,30,10,3
UTTAR PRADESH,2013,By Fire/Self Immolation,5,54,67,24,7,7,213,114,42,8
UTTAR PRADESH,2013,By Fire-Arms,1,45,52,23,5,0,31,23,1,0
UTTAR PRADESH,2013,By Hanging,15,339,355,208,25,12,422,236,73,19
UTTAR PRADESH,2013,By Consuming Insecticides,6,103,91,37,7,6,102,67,30,3
UTTAR PRADESH,2013,By Consuming Other Poison,6,78,84,44,5,5,84,34,17,6
UTTAR PRADESH,2013,By Self Infliction of injury,4,12,25,31,8,0,22,10,0,0
UTTAR PRADESH,2013,By Jumping from (Building),0,6,12,10,6,0,7,2,1,0
UTTAR PRADESH,2013,By Jumping from (Other sites),4,6,1,0,0,0,5,3,0,1
UTTAR PRADESH,2013,By Jumping off Moving Vehicles/Trains,0,44,56,33,12,0,17,11,3,0
UTTAR PRADESH,2013,By Machine,0,3,3,2,0,0,1,3,2,0
UTTAR PRADESH,2013,By Overdose of sleeping pills,0,17,19,17,5,0,27,13,7,1
UTTAR PRADESH,2013,By touching electric wires,2,36,44,13,0,2,11,11,7,0
UTTAR PRADESH,2013,By coming under running vehicles/trains,1,22,37,27,10,0,18,17,7,5
UTTAR PRADESH,2013,By Other means (please specify),58,167,145,126,59,26,84,48,72,11
UTTAR PRADESH,2013,Total,112,1037,1126,689,199,62,1107,625,272,57
UTTAR PRADESH,2013,Total (Poison),16,193,200,112,20,11,208,111,47,9
UTTAR PRADESH,2013,Total (Jumping),4,12,13,10,6,0,12,5,1,1
UTTARAKHAND,2013,By Over Alcoholism,0,2,0,1,0,0,0,0,0,0
UTTARAKHAND,2013,By Drowning,2,12,7,2,1,1,1,0,0,0
UTTARAKHAND,2013,By Fire/Self Immolation,0,0,1,0,0,0,2,1,0,0
UTTARAKHAND,2013,By Fire-Arms,0,3,3,1,1,0,0,0,0,0
UTTARAKHAND,2013,By Hanging,0,37,28,18,5,3,24,17,2,0
UTTARAKHAND,2013,By Consuming Insecticides,0,16,8,4,0,0,8,2,1,0
UTTARAKHAND,2013,By Consuming Other Poison,0,11,13,4,2,2,13,1,6,2
UTTARAKHAND,2013,By Self Infliction of injury,0,1,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,By Jumping from (Other sites),0,0,1,0,0,0,0,0,0,0
UTTARAKHAND,2013,By Jumping off Moving Vehicles/Trains,0,4,3,1,0,0,0,3,0,1
UTTARAKHAND,2013,By Machine,0,0,2,0,0,0,0,0,0,0
UTTARAKHAND,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,By touching electric wires,0,0,5,1,0,0,0,0,0,0
UTTARAKHAND,2013,By coming under running vehicles/trains,0,1,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,By Other means (please specify),2,7,21,11,2,1,11,15,4,0
UTTARAKHAND,2013,Total,4,94,92,43,11,7,59,39,13,3
UTTARAKHAND,2013,Total (Poison),0,28,21,8,2,2,21,3,7,2
UTTARAKHAND,2013,Total (Jumping),0,0,1,0,0,0,0,0,0,0
WEST BENGAL,2013,By Over Alcoholism,0,15,36,20,28,0,0,0,1,0
WEST BENGAL,2013,By Drowning,32,85,111,67,14,17,62,59,27,5
WEST BENGAL,2013,By Fire/Self Immolation,4,63,51,21,12,3,107,97,32,19
WEST BENGAL,2013,By Fire-Arms,0,2,3,2,0,0,0,0,0,0
WEST BENGAL,2013,By Hanging,56,875,1110,686,181,44,792,657,308,93
WEST BENGAL,2013,By Consuming Insecticides,0,58,62,76,15,9,102,76,44,15
WEST BENGAL,2013,By Consuming Other Poison,26,411,645,368,59,17,435,420,193,23
WEST BENGAL,2013,By Self Infliction of injury,0,11,17,11,3,0,7,6,1,2
WEST BENGAL,2013,By Jumping from (Building),1,8,12,8,2,0,4,3,1,1
WEST BENGAL,2013,By Jumping from (Other sites),0,13,10,4,0,0,16,7,4,0
WEST BENGAL,2013,By Jumping off Moving Vehicles/Trains,0,41,24,0,0,0,23,9,1,0
WEST BENGAL,2013,By Machine,0,4,3,1,0,0,0,0,0,0
WEST BENGAL,2013,By Overdose of sleeping pills,1,2,7,9,3,0,2,3,0,7
WEST BENGAL,2013,By touching electric wires,4,23,14,14,3,3,13,14,1,3
WEST BENGAL,2013,By coming under running vehicles/trains,3,79,73,61,12,7,34,36,25,2
WEST BENGAL,2013,By Other means (please specify),57,600,769,604,155,14,417,542,256,74
WEST BENGAL,2013,Total,184,2290,2947,1952,487,114,2014,1929,894,244
WEST BENGAL,2013,Total (Poison),26,480,724,455,77,26,544,502,238,40
WEST BENGAL,2013,Total (Jumping),1,21,22,12,2,0,20,10,5,1
A & N ISLANDS,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Drowning,0,0,2,1,0,0,2,0,0,0
A & N ISLANDS,2013,By Fire/Self Immolation,0,0,0,0,0,0,2,1,0,0
A & N ISLANDS,2013,By Fire-Arms,0,1,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Hanging,4,33,25,27,15,2,14,9,4,1
A & N ISLANDS,2013,By Consuming Insecticides,0,1,2,0,0,0,3,1,0,0
A & N ISLANDS,2013,By Consuming Other Poison,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Machine,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Overdose of sleeping pills,0,0,0,0,0,0,1,0,0,0
A & N ISLANDS,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Total,4,35,29,28,15,2,22,11,4,1
A & N ISLANDS,2013,Total (Poison),0,1,2,0,0,0,3,1,0,0
A & N ISLANDS,2013,Total (Jumping),0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Drowning,0,0,1,1,0,0,0,0,0,0
CHANDIGARH,2013,By Fire/Self Immolation,0,1,1,0,0,0,2,1,0,0
CHANDIGARH,2013,By Fire-Arms,0,0,0,1,0,0,1,0,0,0
CHANDIGARH,2013,By Hanging,0,20,10,6,0,1,20,7,1,0
CHANDIGARH,2013,By Consuming Insecticides,0,1,1,0,0,0,0,0,0,0
CHANDIGARH,2013,By Consuming Other Poison,0,3,4,3,2,0,3,1,1,0
CHANDIGARH,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Jumping from (Building),0,3,1,0,0,0,0,0,0,0
CHANDIGARH,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Machine,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Total,0,28,18,11,2,1,26,9,2,0
CHANDIGARH,2013,Total (Poison),0,4,5,3,2,0,3,1,1,0
CHANDIGARH,2013,Total (Jumping),0,3,1,0,0,0,0,0,0,0
D & N HAVELI,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Drowning,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Fire-Arms,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Hanging,0,23,11,14,2,0,13,2,2,6
D & N HAVELI,2013,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Consuming Other Poison,0,1,1,3,0,0,0,3,3,0
D & N HAVELI,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Machine,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,By Other means (please specify),0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Total,0,24,12,17,2,0,13,5,5,6
D & N HAVELI,2013,Total (Poison),0,1,1,3,0,0,0,3,3,0
D & N HAVELI,2013,Total (Jumping),0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Drowning,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Fire/Self Immolation,0,0,0,0,0,0,1,0,1,0
DAMAN & DIU,2013,By Fire-Arms,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Hanging,0,7,1,2,0,0,4,4,1,0
DAMAN & DIU,2013,By Consuming Insecticides,0,1,1,1,0,0,0,0,0,0
DAMAN & DIU,2013,By Consuming Other Poison,0,0,0,0,0,0,1,1,0,0
DAMAN & DIU,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Machine,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,By Other means (please specify),0,0,0,0,0,0,2,0,1,0
DAMAN & DIU,2013,Total,0,8,2,3,0,0,8,5,3,0
