States/UTs,Year,CrimeHead,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
Karnataka,2014,Other prolonged illness,3,315,358,212,127,3,263,137,90,52
Karnataka,2014,Death of dear person,0,26,23,19,4,0,19,16,2,2
Karnataka,2014,Drug abuse/addiction,0,12,21,34,11,0,0,3,2,0
Karnataka,2014,Fall in social reputation,0,8,15,5,0,1,7,4,0,0
Karnataka,2014,Ideological causes/Hero worshipping,0,0,1,0,0,0,0,0,0,0
Karnataka,2014,Love affairs,2,242,47,22,9,1,87,10,4,0
Karnataka,2014,Poverty,0,18,35,18,5,1,3,1,0,2
Karnataka,2014,Unemployment,0,39,35,5,2,1,7,6,2,0
Karnataka,2014,Property dispute,0,22,35,10,5,0,0,5,1,0
Karnataka,2014,Suspected/Illicit relation,0,1,5,1,1,0,2,3,2,0
Karnataka,2014,Illegitimate Pregnancy,0,0,0,0,0,0,1,0,0,0
Karnataka,2014,Physical Abuse (Rape; etc.),0,2,0,0,0,0,0,0,0,0
Karnataka,2014,Professional/Career Problem,0,15,24,8,3,0,3,3,0,0
Karnataka,2014,Causes not known,5,272,240,123,53,4,119,39,35,15
Karnataka,2014,Other causes,33,1138,1164,724,161,21,526,318,324,74
Karnataka,2014,Total,54,2803,2739,1611,477,39,1557,877,595,191
Kerala,2014,Bankruptcy or indebtedness,1,14,53,63,22,1,2,10,5,2
Kerala,2014,Marriage Related Issues,0,9,26,24,0,0,38,18,3,0
Kerala,2014,Non Settlement of Marriage,0,3,7,3,0,0,9,4,0,0
Kerala,2014,Dowry Related Issues,0,0,0,0,0,0,15,3,2,0
Kerala,2014,Extra Marital affairs,0,2,5,8,0,0,5,6,0,0
Kerala,2014,Divorce,0,0,1,3,0,0,0,0,0,0
Kerala,2014,Others,0,4,13,10,0,0,9,5,1,0
Kerala,2014,Failure in Examination,3,27,1,0,0,2,28,0,0,0
Kerala,2014,Impotency/Infertility,0,1,8,3,2,0,2,7,0,0
Kerala,2014,Other Family problems,13,365,785,756,466,10,235,231,164,124
Kerala,2014,Illness,0,177,332,511,527,0,75,101,167,235
Kerala,2014,AIDS/STD,0,0,0,1,0,0,0,0,0,0
Kerala,2014,Cancer,0,4,9,26,17,0,1,3,8,8
Kerala,2014,Paralysis,0,0,2,2,8,0,1,0,1,0
Kerala,2014,Insanity/Mental illness,0,109,155,179,100,0,50,52,59,59
Kerala,2014,Other prolonged illness,0,64,166,303,402,0,23,46,99,168
Kerala,2014,Death of dear person,1,11,12,26,19,0,12,8,15,11
Kerala,2014,Drug abuse/addiction,0,95,163,163,52,0,1,0,1,0
Kerala,2014,Fall in social reputation,0,5,14,14,7,0,4,5,1,2
Kerala,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,2,0,0,0
Kerala,2014,Love affairs,0,56,9,1,0,2,77,2,0,0
Kerala,2014,Poverty,0,0,0,0,0,0,0,0,0,0
Kerala,2014,Unemployment,0,21,19,6,4,0,6,2,0,0
Kerala,2014,Property dispute,0,5,13,16,4,0,0,0,0,1
Kerala,2014,Suspected/Illicit relation,0,1,4,1,0,0,1,5,0,0
Kerala,2014,Illegitimate Pregnancy,0,0,0,0,0,0,1,0,0,0
Kerala,2014,Physical Abuse (Rape; etc.),0,0,0,1,0,0,0,0,0,0
Kerala,2014,Professional/Career Problem,0,9,21,18,0,0,3,4,4,0
Kerala,2014,Causes not known,5,112,127,138,73,5,52,27,24,14
Kerala,2014,Other causes,7,218,344,251,157,3,110,73,50,46
Kerala,2014,Total,30,1126,1931,1992,1333,23,649,493,434,435
Madhya Pradesh,2014,Bankruptcy or indebtedness,0,19,16,13,0,0,0,3,1,1
Madhya Pradesh,2014,Marriage Related Issues,2,112,57,11,1,2,611,143,22,1
Madhya Pradesh,2014,Non Settlement of Marriage,0,25,12,1,0,1,19,5,0,0
Madhya Pradesh,2014,Dowry Related Issues,0,1,0,0,0,0,543,114,10,1
Madhya Pradesh,2014,Extra Marital affairs,0,13,7,2,0,1,8,3,2,0
Madhya Pradesh,2014,Divorce,0,1,3,0,0,0,3,4,0,0
Madhya Pradesh,2014,Others,2,72,35,8,1,0,38,17,10,0
Madhya Pradesh,2014,Failure in Examination,3,95,3,0,0,6,113,3,0,0
Madhya Pradesh,2014,Impotency/Infertility,0,7,10,0,0,0,17,12,2,0
Madhya Pradesh,2014,Other Family problems,19,488,304,109,41,2,423,268,74,38
Madhya Pradesh,2014,Illness,6,425,336,223,108,7,185,142,88,43
Madhya Pradesh,2014,AIDS/STD,0,1,1,0,0,0,0,0,0,0
Madhya Pradesh,2014,Cancer,0,5,6,9,0,0,2,1,1,1
Madhya Pradesh,2014,Paralysis,0,1,11,5,1,0,0,1,0,0
Madhya Pradesh,2014,Insanity/Mental illness,2,153,121,81,20,4,65,55,27,10
Madhya Pradesh,2014,Other prolonged illness,4,265,197,128,87,3,118,85,60,32
Madhya Pradesh,2014,Death of dear person,0,19,25,7,3,1,19,2,4,1
Madhya Pradesh,2014,Drug abuse/addiction,1,113,108,59,4,0,8,10,1,1
Madhya Pradesh,2014,Fall in social reputation,0,15,18,11,5,3,8,3,0,0
Madhya Pradesh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,2014,Love affairs,0,119,18,0,0,3,93,8,0,0
Madhya Pradesh,2014,Poverty,0,7,9,14,4,0,1,10,11,0
Madhya Pradesh,2014,Unemployment,0,43,37,4,2,0,26,10,2,0
Madhya Pradesh,2014,Property dispute,0,29,29,26,8,0,2,9,6,6
Madhya Pradesh,2014,Suspected/Illicit relation,0,12,18,3,0,1,10,1,2,0
Madhya Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,2014,Physical Abuse (Rape; etc.),0,1,0,0,0,1,11,0,0,1
Madhya Pradesh,2014,Professional/Career Problem,0,6,10,6,0,0,0,1,1,0
Madhya Pradesh,2014,Causes not known,24,398,279,113,44,20,273,113,41,21
Madhya Pradesh,2014,Other causes,31,531,388,255,77,13,471,165,72,23
Madhya Pradesh,2014,Total,86,2439,1665,854,297,59,2273,903,327,136
Maharashtra,2014,Bankruptcy or indebtedness,0,160,332,238,78,0,5,10,16,4
Maharashtra,2014,Marriage Related Issues,0,135,125,40,13,2,314,101,25,0
Maharashtra,2014,Non Settlement of Marriage,0,64,32,1,1,0,61,20,5,0
Maharashtra,2014,Dowry Related Issues,0,0,0,0,1,0,150,29,6,0
Maharashtra,2014,Extra Marital affairs,0,15,21,4,1,0,35,17,4,0
Maharashtra,2014,Divorce,0,5,13,2,1,0,14,7,2,0
Maharashtra,2014,Others,0,51,59,33,9,2,54,28,8,0
Maharashtra,2014,Failure in Examination,8,186,3,0,0,12,149,1,0,0
Maharashtra,2014,Impotency/Infertility,0,7,9,0,0,0,18,5,1,1
Maharashtra,2014,Other Family problems,17,1335,1351,670,191,29,1001,541,155,46
Maharashtra,2014,Illness,2,554,798,600,447,5,377,316,209,202
Maharashtra,2014,AIDS/STD,0,14,48,20,6,0,2,13,3,2
Maharashtra,2014,Cancer,0,11,31,27,16,0,4,8,7,6
Maharashtra,2014,Paralysis,0,1,2,17,8,0,2,0,5,2
Maharashtra,2014,Insanity/Mental illness,1,222,242,128,58,4,146,120,74,41
Maharashtra,2014,Other prolonged illness,1,306,475,408,359,1,223,175,120,151
Maharashtra,2014,Death of dear person,0,22,36,23,16,0,24,21,9,3
Maharashtra,2014,Drug abuse/addiction,1,385,585,309,87,0,2,0,1,2
Maharashtra,2014,Fall in social reputation,0,14,16,19,4,0,5,1,2,1
Maharashtra,2014,Ideological causes/Hero worshipping,1,2,5,4,1,2,2,2,0,0
Maharashtra,2014,Love affairs,0,155,20,2,0,3,118,13,0,0
Maharashtra,2014,Poverty,0,47,59,30,9,1,10,6,1,0
Maharashtra,2014,Unemployment,0,147,95,36,6,0,16,8,4,0
Maharashtra,2014,Property dispute,0,22,45,43,9,0,20,20,5,1
Maharashtra,2014,Suspected/Illicit relation,0,4,7,2,0,3,19,7,2,0
Maharashtra,2014,Illegitimate Pregnancy,0,0,0,0,0,0,7,4,0,0
Maharashtra,2014,Physical Abuse (Rape; etc.),0,0,0,2,0,2,19,4,2,0
Maharashtra,2014,Professional/Career Problem,0,60,73,41,7,0,11,9,0,0
Maharashtra,2014,Causes not known,8,266,272,146,75,5,145,53,16,15
Maharashtra,2014,Other causes,8,475,453,285,90,6,161,76,34,28
Maharashtra,2014,Total,45,3976,4284,2490,1033,70,2423,1198,482,303
Manipur,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Marriage Related Issues,0,0,0,0,0,0,2,0,0,0
Manipur,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Others,0,0,0,0,0,0,2,0,0,0
Manipur,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Other Family problems,0,0,1,1,0,0,6,4,0,0
Manipur,2014,Illness,0,0,0,0,0,0,0,0,0,0
Manipur,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Insanity/Mental illness,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Other prolonged illness,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Love affairs,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Poverty,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Unemployment,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Manipur,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Causes not known,2,6,3,1,1,1,3,0,0,0
Manipur,2014,Other causes,0,6,5,5,0,0,2,1,0,0
Manipur,2014,Total,2,12,9,7,1,1,13,5,0,0
Meghalaya,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Marriage Related Issues,0,1,4,1,0,0,2,1,0,0
Meghalaya,2014,Non Settlement of Marriage,0,1,0,1,0,0,1,0,0,0
Meghalaya,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Others,0,0,4,0,0,0,1,1,0,0
Meghalaya,2014,Failure in Examination,1,3,0,0,0,1,1,0,0,0
Meghalaya,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Other Family problems,0,3,5,3,1,0,1,1,0,1
Meghalaya,2014,Illness,0,1,1,0,1,0,0,0,0,0
Meghalaya,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Insanity/Mental illness,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Other prolonged illness,0,1,1,0,1,0,0,0,0,0
Meghalaya,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Drug abuse/addiction,0,0,1,0,0,0,0,0,0,0
Meghalaya,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Love affairs,0,5,0,0,0,0,7,0,0,0
Meghalaya,2014,Poverty,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Unemployment,0,2,0,0,0,0,0,0,0,0
Meghalaya,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Suspected/Illicit relation,0,0,1,0,0,0,0,0,0,0
Meghalaya,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,1,0,0
Meghalaya,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Causes not known,1,11,9,5,2,1,3,2,0,0
Meghalaya,2014,Other causes,0,5,4,4,0,1,1,0,0,0
Meghalaya,2014,Total,2,31,25,13,4,3,15,5,0,1
Mizoram,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Marriage Related Issues,0,1,1,0,0,0,1,0,0,0
Mizoram,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Divorce,0,0,1,0,0,0,0,0,0,0
Mizoram,2014,Others,0,1,0,0,0,0,1,0,0,0
Mizoram,2014,Failure in Examination,0,1,0,0,0,0,0,0,0,0
Mizoram,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Other Family problems,2,18,14,5,4,0,8,1,2,0
Mizoram,2014,Illness,1,0,0,1,0,0,0,0,0,0
Mizoram,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Insanity/Mental illness,0,0,0,1,0,0,0,0,0,0
Mizoram,2014,Other prolonged illness,1,0,0,0,0,0,0,0,0,0
Mizoram,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Drug abuse/addiction,0,2,3,0,0,0,0,0,0,0
Mizoram,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Love affairs,0,0,0,0,0,0,1,0,0,0
Mizoram,2014,Poverty,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Unemployment,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Causes not known,1,11,12,4,0,0,1,0,0,1
Mizoram,2014,Other causes,0,8,8,2,1,0,0,0,1,0
Mizoram,2014,Total,4,41,38,12,5,0,11,1,3,1
Nagaland,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Marriage Related Issues,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Others,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Other Family problems,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Illness,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Insanity/Mental illness,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Other prolonged illness,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Love affairs,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Poverty,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Unemployment,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Causes not known,0,2,2,0,0,0,2,1,0,0
Nagaland,2014,Other causes,0,2,1,1,1,0,1,0,0,0
Nagaland,2014,Total,0,4,3,1,1,0,3,1,0,0
Odisha,2014,Bankruptcy or indebtedness,0,0,2,2,8,0,0,1,0,0
Odisha,2014,Marriage Related Issues,0,67,40,12,0,0,181,85,3,0
Odisha,2014,Non Settlement of Marriage,0,20,11,0,0,0,44,35,0,0
Odisha,2014,Dowry Related Issues,0,2,0,0,0,0,68,12,0,0
Odisha,2014,Extra Marital affairs,0,9,5,1,0,0,2,3,0,0
Odisha,2014,Divorce,0,0,0,0,0,0,5,0,0,0
Odisha,2014,Others,0,36,24,11,0,0,62,35,3,0
Odisha,2014,Failure in Examination,2,65,0,0,0,2,48,0,0,0
Odisha,2014,Impotency/Infertility,0,0,0,0,0,0,1,1,0,0
Odisha,2014,Other Family problems,1,102,170,114,24,6,112,133,69,17
Odisha,2014,Illness,2,62,78,85,38,6,33,39,19,11
Odisha,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Odisha,2014,Cancer,0,0,6,21,0,0,0,0,0,1
Odisha,2014,Paralysis,0,0,0,16,0,0,0,0,0,0
Odisha,2014,Insanity/Mental illness,1,22,18,11,8,0,14,12,2,2
Odisha,2014,Other prolonged illness,1,40,54,37,30,6,19,27,17,8
Odisha,2014,Death of dear person,0,0,1,2,2,0,1,0,1,0
Odisha,2014,Drug abuse/addiction,0,7,29,32,0,0,0,1,0,0
Odisha,2014,Fall in social reputation,0,3,5,5,4,0,5,5,0,0
Odisha,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Odisha,2014,Love affairs,2,107,13,1,0,0,138,13,1,0
Odisha,2014,Poverty,0,4,2,1,0,0,0,1,4,0
Odisha,2014,Unemployment,0,53,24,0,0,0,9,8,0,0
Odisha,2014,Property dispute,0,6,10,13,1,0,4,4,0,0
Odisha,2014,Suspected/Illicit relation,0,13,9,1,0,0,3,2,0,0
Odisha,2014,Illegitimate Pregnancy,0,0,0,0,0,0,9,3,0,0
Odisha,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,1,0,0,0
Odisha,2014,Professional/Career Problem,0,10,7,0,0,0,6,0,0,0
Odisha,2014,Causes not known,13,138,83,63,38,9,163,102,89,2
Odisha,2014,Other causes,5,348,207,143,49,13,237,117,92,22
Odisha,2014,Total,25,985,680,474,164,36,951,515,278,52
Punjab,2014,Bankruptcy or indebtedness,0,2,2,1,0,0,0,1,2,0
Punjab,2014,Marriage Related Issues,0,14,7,1,0,0,23,14,0,1
Punjab,2014,Non Settlement of Marriage,0,9,3,0,0,0,8,5,0,0
Punjab,2014,Dowry Related Issues,0,0,0,0,0,0,9,2,0,0
Punjab,2014,Extra Marital affairs,0,0,1,0,0,0,0,3,0,0
Punjab,2014,Divorce,0,0,0,0,0,0,0,2,0,0
Punjab,2014,Others,0,5,3,1,0,0,6,2,0,1
Punjab,2014,Failure in Examination,1,23,0,0,0,1,9,0,0,0
Punjab,2014,Impotency/Infertility,0,0,0,0,0,0,1,1,0,0
Punjab,2014,Other Family problems,2,57,46,23,6,0,23,16,6,0
Punjab,2014,Illness,1,101,106,50,16,1,30,27,10,6
Punjab,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Punjab,2014,Cancer,0,3,0,0,0,0,3,1,0,1
Punjab,2014,Paralysis,0,1,3,0,3,0,1,4,2,0
Punjab,2014,Insanity/Mental illness,1,79,86,28,10,0,24,14,6,3
Punjab,2014,Other prolonged illness,0,18,17,22,3,1,2,8,2,2
Punjab,2014,Death of dear person,0,0,0,0,2,0,0,0,0,0
Punjab,2014,Drug abuse/addiction,0,16,17,4,1,0,0,0,0,0
Punjab,2014,Fall in social reputation,0,1,4,3,0,0,0,0,1,0
Punjab,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Punjab,2014,Love affairs,0,9,1,0,0,0,10,5,0,0
Punjab,2014,Poverty,0,1,4,0,0,0,1,2,0,0
Punjab,2014,Unemployment,0,3,0,0,0,0,1,0,0,0
Punjab,2014,Property dispute,0,4,2,1,0,0,0,1,0,0
Punjab,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,2,0,0
Punjab,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Punjab,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Punjab,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Punjab,2014,Causes not known,0,16,12,16,1,0,10,3,0,0
Punjab,2014,Other causes,1,69,30,33,0,0,13,4,8,0
Punjab,2014,Total,5,316,231,132,26,2,121,76,27,7
Rajasthan,2014,Bankruptcy or indebtedness,0,4,11,1,0,0,0,0,0,0
Rajasthan,2014,Marriage Related Issues,0,28,14,4,1,0,28,15,2,1
Rajasthan,2014,Non Settlement of Marriage,0,7,1,0,0,0,0,1,0,0
Rajasthan,2014,Dowry Related Issues,0,3,3,0,0,0,13,4,0,0
Rajasthan,2014,Extra Marital affairs,0,7,5,0,0,0,6,5,1,0
Rajasthan,2014,Divorce,0,2,1,0,0,0,1,1,0,0
Rajasthan,2014,Others,0,9,4,4,1,0,8,4,1,1
Rajasthan,2014,Failure in Examination,0,58,0,0,0,1,25,0,0,0
Rajasthan,2014,Impotency/Infertility,0,2,0,0,0,0,1,1,0,0
Rajasthan,2014,Other Family problems,3,192,189,57,16,2,133,57,14,3
Rajasthan,2014,Illness,2,100,120,98,35,1,37,43,34,13
Rajasthan,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Rajasthan,2014,Cancer,0,1,1,2,2,0,0,1,1,3
Rajasthan,2014,Paralysis,0,0,5,1,1,0,0,0,1,0
Rajasthan,2014,Insanity/Mental illness,1,73,69,60,15,1,33,35,22,7
Rajasthan,2014,Other prolonged illness,1,26,45,35,17,0,4,7,10,3
Rajasthan,2014,Death of dear person,0,2,2,0,1,0,2,0,0,0
Rajasthan,2014,Drug abuse/addiction,0,27,18,12,4,0,1,1,0,0
Rajasthan,2014,Fall in social reputation,0,0,1,1,1,0,2,0,0,0
Rajasthan,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,1,0,0,0
Rajasthan,2014,Love affairs,0,54,7,1,0,1,39,5,0,0
Rajasthan,2014,Poverty,0,1,2,2,0,0,0,0,0,0
Rajasthan,2014,Unemployment,0,17,4,3,0,0,1,0,0,0
Rajasthan,2014,Property dispute,0,10,15,8,4,0,1,2,1,0
Rajasthan,2014,Suspected/Illicit relation,0,5,1,0,0,0,4,0,0,0
Rajasthan,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Rajasthan,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,1,0,0,0
Rajasthan,2014,Professional/Career Problem,0,4,5,2,0,0,0,0,0,0
Rajasthan,2014,Causes not known,5,169,153,66,18,4,72,45,16,3
Rajasthan,2014,Other causes,32,732,573,277,61,26,312,220,44,9
Rajasthan,2014,Total,42,1405,1115,532,141,35,660,389,111,29
Sikkim,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Marriage Related Issues,0,2,0,0,0,0,1,1,0,0
Sikkim,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Extra Marital affairs,0,2,0,0,0,0,1,0,0,0
Sikkim,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Others,0,0,0,0,0,0,0,1,0,0
Sikkim,2014,Failure in Examination,0,2,0,0,0,1,5,0,0,0
Sikkim,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Other Family problems,0,10,6,1,0,0,4,4,1,0
Sikkim,2014,Illness,0,3,2,3,2,0,3,2,1,1
Sikkim,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Insanity/Mental illness,0,1,1,2,0,0,2,2,0,0
Sikkim,2014,Other prolonged illness,0,2,1,1,2,0,1,0,1,1
Sikkim,2014,Death of dear person,0,1,0,0,0,0,1,0,0,0
Sikkim,2014,Drug abuse/addiction,0,1,0,0,0,0,0,0,0,0
Sikkim,2014,Fall in social reputation,0,1,0,0,0,0,0,0,0,0
Sikkim,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Love affairs,0,1,0,0,0,1,1,0,0,0
Sikkim,2014,Poverty,1,9,0,0,0,0,0,1,1,1
Sikkim,2014,Unemployment,0,2,1,0,0,0,0,0,0,0
Sikkim,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Causes not known,1,10,7,8,0,2,8,4,4,0
Sikkim,2014,Other causes,4,20,35,21,7,2,13,13,5,2
Sikkim,2014,Total,6,62,51,33,9,6,36,25,12,4
Tamil Nadu,2014,Bankruptcy or indebtedness,0,25,60,30,6,0,9,21,13,2
Tamil Nadu,2014,Marriage Related Issues,0,92,55,35,4,0,113,53,15,2
Tamil Nadu,2014,Non Settlement of Marriage,0,36,23,12,1,0,24,17,1,0
Tamil Nadu,2014,Dowry Related Issues,0,0,0,0,0,0,30,6,0,0
Tamil Nadu,2014,Extra Marital affairs,0,3,1,0,0,0,5,3,0,2
Tamil Nadu,2014,Divorce,0,10,6,12,1,0,16,6,2,0
Tamil Nadu,2014,Others,0,43,25,11,2,0,38,21,12,0
Tamil Nadu,2014,Failure in Examination,12,122,0,0,0,13,100,0,0,0
Tamil Nadu,2014,Impotency/Infertility,0,1,1,2,1,1,10,8,3,0
